name,country,latitude,longitude,suburb,property_type,room_type,bed_type,price,number_of_reviews,rating,occupancy_30,occupancy_60,occupancy_90,occupancy_365
Ribeira Charming Duplex,Portugal,41.1413,-8.61308,Porto,House,Entire home/apt,Real Bed,80.0,51,9.0,0.0666666666666666,0.2166666666666666,0.1777777777777778,0.3452054794520548
Ocean View Waikiki Marina w/prkg,United States,21.28634,-157.83919,Oʻahu,Condominium,Entire home/apt,Real Bed,115.0,96,9.0,0.4666666666666667,0.2333333333333332,0.1555555555555555,0.0602739726027397
Horto flat with small garden,Brazil,-22.96625355173965,-43.23074991429229,Jardim Botânico,Apartment,Entire home/apt,Real Bed,317.0,0,,1.0,1.0,1.0,1.0
Charming Flat in Downtown Moda,Turkey,40.98585,29.03133,Moda,House,Entire home/apt,Real Bed,527.0,1,10.0,0.0999999999999999,0.05,0.0333333333333333,0.0082191780821917
Ótimo Apto proximo Parque Olimpico,Brazil,-23.00035792660916,-43.4311123147628,Recreio dos Bandeirantes,Apartment,Entire home/apt,Real Bed,858.0,0,,1.0,1.0,1.0,1.0
Double Room en-suite (307),Hong Kong,22.30469,114.17158,Yau Tsim Mong,Apartment,Private room,Real Bed,361.0,0,,0.0,0.0,0.0,0.0
Sydney Hyde Park City Apartment (checkin from 6am),Australia,-33.87603,151.21346,Darlinghurst,Apartment,Entire home/apt,Real Bed,185.0,109,10.0,0.8333333333333334,0.7333333333333334,0.6111111111111112,0.273972602739726
2 bedroom Upper east side,United States,40.7664,-73.95854,Upper East Side,Apartment,Entire home/apt,Real Bed,275.0,9,9.0,1.0,1.0,1.0,1.0
Apto semi mobiliado,Brazil,-22.91500935448249,-43.24277868091869,Vila Isabel,Apartment,Entire home/apt,Real Bed,380.0,0,,0.0,0.0,0.0,0.0
"Friendly Apartment, 10m from Manly",Australia,-33.79629,151.26969,Fairlight,Apartment,Private room,Real Bed,36.0,4,10.0,1.0,1.0,1.0,1.0
Cozy double bed room 東涌鄉村雅緻雙人房,Hong Kong,22.27671,113.92823,Hong Kong,Guesthouse,Private room,Real Bed,487.0,162,10.0,0.4,0.3166666666666666,0.2555555555555555,0.0712328767123288
Makaha Valley Paradise with OceanView,United States,21.4818,-158.20291,Leeward Side,Condominium,Entire home/apt,Pull-out Sofa,95.0,32,10.0,1.0,0.95,0.8222222222222222,0.3260273972602739
Small Room w Bathroom Flamengo Rio de Janeiro,Brazil,-22.93848268819496,-43.17645081249057,Flamengo,Apartment,Private room,Real Bed,71.0,1,8.0,1.0,1.0,1.0,1.0
UWS Brownstone Near Central Park,United States,40.78558,-73.9696,Upper West Side,Apartment,Entire home/apt,Real Bed,212.0,45,9.0,1.0,0.95,0.9444444444444444,0.9863013698630136
Copacabana Apartment Posto 6,Brazil,-22.98433936006781,-43.19084919446341,Copacabana,Apartment,Entire home/apt,Real Bed,119.0,70,10.0,0.7666666666666666,0.6833333333333333,0.6333333333333333,0.6767123287671233
Catete's Colonial Big Hause Room B,Brazil,-22.92638234778768,-43.18015675229857,Catete,House,Private room,Real Bed,250.0,1,10.0,0.6666666666666667,0.8333333333333334,0.7666666666666666,0.1890410958904109
Ligne verte - à 15 min de métro du centre ville.,Canada,45.54548,-73.54949,Hochelaga-Maisonneuve,Apartment,Entire home/apt,Real Bed,43.0,0,,1.0,1.0,1.0,0.9123287671232876
Downtown Oporto Inn (room cleaning),Portugal,41.1543,-8.60867,Porto,Hostel,Private room,Real Bed,40.0,0,,0.0,0.0,0.0333333333333333,0.0164383561643836
A Casa Alegre é um apartamento T1.,Portugal,41.3596,-8.75383,Vila do Conde,Apartment,Entire home/apt,Real Bed,40.0,12,10.0,1.0,1.0,1.0,0.873972602739726
The LES Apartment,United States,40.72063,-73.98944,Manhattan,Apartment,Entire home/apt,Real Bed,150.0,0,,1.0,1.0,1.0,1.0
Double and triple rooms Blue mosque,Turkey,41.0062,28.98009,Fatih,Bed and breakfast,Private room,Real Bed,121.0,29,9.0,0.0,0.0,0.0,0.0
Room Close to LGA and 35 mins to Times Square,United States,40.74953,-73.88025,Queens,Apartment,Private room,Real Bed,46.0,123,10.0,0.0,0.0,0.0,0.0
Resort-like living in Williamsburg,United States,40.71552,-73.93869,Williamsburg,Apartment,Entire home/apt,Real Bed,220.0,1,10.0,1.0,1.0,1.0,1.0
Roof double bed private room,Turkey,41.12452,29.03693,Istanbul,Loft,Private room,Real Bed,185.0,0,,0.0,0.0,0.0,0.0
Great studio opp. Narrabeen Lake,Australia,-33.71472,151.29792,Narrabeen,Apartment,Entire home/apt,Real Bed,117.0,61,10.0,1.0,1.0,0.7222222222222222,0.9287671232876712
Cozy aptartment in Recreio (near Olympic Venues),Brazil,-23.008710784460312,-43.45296045334386,Recreio dos Bandeirantes,Apartment,Entire home/apt,Real Bed,746.0,0,,1.0,1.0,1.0,1.0
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",United States,20.96996,-156.68012,Maui,Condominium,Entire home/apt,Real Bed,499.0,1,10.0,0.0,0.0,0.0,0.0
Quarto inteiro na Tijuca,Brazil,-22.936203246553816,-43.247421907135774,Tijuca,Apartment,Private room,Real Bed,149.0,1,8.0,0.0666666666666666,0.0333333333333333,0.0222222222222222,0.5123287671232877
"Amazing and Big Apt, Ipanema Beach.",Brazil,-22.983108745795256,-43.20465630892734,Ipanema,Apartment,Entire home/apt,Real Bed,1999.0,0,,1.0,1.0,1.0,1.0
